Latitude,Longitude,Type,Depth,Magnitude,Time,Area,Date,Year,Month,Day
21.104,121.21799999999999,Earthquake,30.0,5.7,08:18:57,中华人民共和国,1965-03-01,1965,3,1
21.122,121.148,Earthquake,30.0,5.6,13:20:57,中华人民共和国,1965-03-01,1965,3,1
22.635,121.117,Earthquake,15.0,5.8,02:02:09,中华人民共和国,1965-03-15,1965,3,15
25.08,122.897,Earthquake,165.0,5.6,05:09:50,中华人民共和国,1965-04-15,1965,4,15
21.045,120.79799999999999,Earthquake,37.1,6.1,22:15:45,中华人民共和国,1965-04-26,1965,4,26
41.801,79.414,Earthquake,10.0,6.2,08:34:43,新疆维吾尔自治区,1965-05-04,1965,5,4
22.336,121.24799999999999,Earthquake,68.4,6.7,17:19:33,中华人民共和国,1965-05-17,1965,5,17
32.052,87.78399999999999,Earthquake,10.0,5.9,20:14:51,西藏自治区,1965-06-17,1965,6,17
23.764,121.56,Earthquake,40.0,5.9,11:36:14,台湾省,1965-06-27,1965,6,27
22.338,101.49600000000001,Earthquake,35.0,5.9,11:26:13,云南省,1965-07-03,1965,7,3
12.347000000000001,114.485,Earthquake,20.0,5.9,03:36:02,中华人民共和国,1965-10-07,1965,10,7
43.745,87.84299999999999,Earthquake,35.0,6.5,04:33:52,新疆维吾尔自治区,1965-11-13,1965,11,13
24.13,121.96600000000001,Earthquake,25.0,5.8,17:57:42,中华人民共和国,1966-02-03,1966,2,3
26.246,103.18700000000001,Earthquake,10.0,6.4,15:12:31,云南省,1966-02-05,1966,2,5
26.12,103.22200000000001,Earthquake,10.0,5.9,10:44:40,云南省,1966-02-13,1966,2,13
31.525,80.487,Earthquake,20.0,6.7,02:10:56,西藏自治区,1966-03-06,1966,3,6
31.421999999999997,80.554,Earthquake,20.0,6.3,02:15:56,西藏自治区,1966-03-06,1966,3,6
37.156,114.875,Earthquake,25.0,6.5,21:29:19,河北省,1966-03-07,1966,3,7
24.122,122.583,Earthquake,30.0,7.5,16:31:20,中华人民共和国,1966-03-12,1966,3,12
37.535,115.039,Earthquake,20.0,6.2,08:11:37,河北省,1966-03-22,1966,3,22
37.545,115.061,Earthquake,20.0,6.8,08:19:36,河北省,1966-03-22,1966,3,22
37.714,115.275,Earthquake,20.0,6.0,15:19:04,河北省,1966-03-26,1966,3,26
37.798,115.096,Earthquake,20.0,5.9,18:14:22,河北省,1966-03-26,1966,3,26
37.464,115.12700000000001,Earthquake,20.0,6.0,06:12:00,河北省,1966-03-29,1966,3,29
24.298000000000002,122.595,Earthquake,50.0,6.2,14:21:23,中华人民共和国,1966-05-05,1966,5,5
24.274,122.631,Earthquake,50.0,5.8,00:03:59,中华人民共和国,1966-05-28,1966,5,28
24.328000000000003,122.66,Earthquake,35.0,5.6,11:44:52,中华人民共和国,1966-06-07,1966,6,7
24.739,122.414,Earthquake,112.5,6.4,05:50:40,中华人民共和国,1966-07-01,1966,7,1
22.924,121.507,Earthquake,30.0,6.2,17:10:47,中华人民共和国,1966-09-15,1966,9,15
27.419,92.57600000000001,Earthquake,14.4,5.9,05:10:57,西藏自治区,1966-09-26,1966,9,26
27.412,100.103,Earthquake,20.0,6.3,14:00:24,云南省,1966-09-28,1966,9,28
20.317999999999998,120.11399999999999,Earthquake,21.6,5.6,03:41:37,中华人民共和国,1967-01-04,1967,1,4
28.463,94.24799999999999,Earthquake,16.9,5.7,06:58:05,西藏自治区,1967-03-14,1967,3,14
38.474000000000004,116.60799999999999,Earthquake,29.7,6.1,08:58:24,河北省,1967-03-27,1967,3,27
39.365,73.78699999999999,Earthquake,15.0,5.6,14:51:01,新疆维吾尔自治区,1967-05-11,1967,5,11
