Latitude,Longitude,Type,Depth,Magnitude,Time,Area,Date,Year,Month,Day
-20.158,-179.16299999999998,Earthquake,700.0,5.5,19:14:02,,1985-10-22,1985,10,22
-24.871,178.56599999999997,Earthquake,691.6,5.6,12:52:04,,2002-08-19,2002,8,19
-19.875999999999998,-179.09799999999998,Earthquake,690.0,5.7,02:29:10,,1977-06-17,1977,6,17
-19.406,-179.315,Earthquake,688.0,6.1,22:01:09,,2007-05-06,2007,5,6
-20.073,-179.135,Earthquake,687.6,6.0,17:02:20,,2000-09-02,2000,9,2
-19.250999999999998,-179.362,Earthquake,682.2,5.6,00:24:48,,2007-05-07,2007,5,7
51.55,149.639,Earthquake,678.9,5.5,03:02:14,,1998-02-09,1998,2,9
-23.899,178.375,Earthquake,677.4,6.1,11:23:06,,2002-08-19,2002,8,19
-19.401,-179.354,Earthquake,676.4,6.5,21:11:53,,2007-05-06,2007,5,6
-20.147000000000002,-179.271,Earthquake,675.6,5.6,19:05:58,,1984-10-10,1984,10,10
-23.884,178.495,Earthquake,675.4,7.7,11:08:24,,2002-08-19,2002,8,19
-19.005,-179.361,Earthquake,675.0,5.8,04:21:01,,2000-03-01,2000,3,1
-20.14,-179.15400000000002,Earthquake,673.1,6.0,09:29:10,,2004-01-11,2004,1,11
-19.102999999999998,-179.361,Earthquake,671.9,5.6,04:46:30,,2000-03-01,2000,3,1
-19.584,-179.112,Earthquake,671.0,5.6,09:01:58,,2009-01-24,2009,1,24
-19.512999999999998,-179.329,Earthquake,668.6,5.8,11:26:43,,2007-05-13,2007,5,13
-12.797,169.53099999999998,Earthquake,667.1,5.8,16:27:19,,2002-01-31,2002,1,31
-17.983,178.74400000000003,Earthquake,665.8,6.2,14:50:33,,2002-01-02,2002,1,2
27.8386,140.4931,Earthquake,664.0,7.8,11:23:02,,2015-05-30,2015,5,30
-20.660999999999998,-179.262,Earthquake,662.8,5.9,05:46:01,,2006-06-11,2006,6,11
-19.3503,-179.136,Earthquake,662.37,5.7,13:52:27,,2013-08-29,2013,8,29
-20.754,-179.085,Earthquake,662.2,5.5,01:32:39,,1985-01-09,1985,1,9
-22.973000000000003,179.076,Earthquake,662.0,5.9,23:02:59,,1969-02-10,1969,2,10
-22.796999999999997,178.82,Earthquake,660.0,7.2,22:58:06,,1969-02-10,1969,2,10
-21.101,-179.145,Earthquake,659.0,5.6,18:52:35,,1977-12-14,1977,12,14
8.138,123.726,Earthquake,657.8,6.0,17:44:48,,1998-05-23,1998,5,23
-20.706999999999997,-179.22400000000002,Earthquake,656.6,5.6,16:25:33,,2009-01-07,2009,1,7
53.417,152.756,Earthquake,656.2,6.3,02:30:53,,2009-12-10,2009,12,10
-20.3944,-179.0024,Earthquake,656.0,5.9,06:17:01,,2015-06-16,2015,6,16
-20.622,-179.15099999999998,Earthquake,655.0,5.9,01:08:41,,1975-06-06,1975,6,6
-20.717,-179.24599999999998,Earthquake,653.0,5.5,09:31:50,,1977-01-10,1977,1,10
-5.0280000000000005,108.40299999999999,Earthquake,651.2,5.5,02:27:14,,1997-01-19,1997,1,19
-26.12,178.282,Earthquake,651.0,5.6,19:28:29,,1973-09-21,1973,9,21
-14.365,-68.439,Earthquake,650.0,6.1,01:15:18,,1994-06-09,1994,6,9
-23.566999999999997,178.542,Earthquake,650.0,5.9,11:03:13,,2002-08-19,2002,8,19
-7.952000000000001,-71.416,Earthquake,649.4,5.5,08:21:14,,1998-12-10,1998,12,10
8.147,123.762,Earthquake,649.1,7.3,03:33:51,,1984-03-05,1984,3,5
-25.826,178.169,Earthquake,648.8,5.7,18:12:53,,1987-07-07,1987,7,7
-21.182,-179.097,Earthquake,648.7,5.7,21:15:31,,2000-12-18,2000,12,18
-7.018,123.35700000000001,Earthquake,648.5,6.5,14:33:56,,2000-08-07,2000,8,7
52.301,151.613,Earthquake,647.6,7.3,17:46:10,,1970-08-30,1970,8,30
-7.0360000000000005,117.50299999999999,Earthquake,647.4,5.7,10:23:42,,1984-09-16,1984,9,16
-17.779,-178.05,Earthquake,645.8,6.5,17:07:36,,1984-11-22,1984,11,22
-18.278,-178.475,Earthquake,645.4,5.5,14:54:29,,1994-10-01,1994,10,1
-18.108,-178.062,Earthquake,645.0,6.2,13:12:56,,1965-12-09,1965,12,9
-7.89,-71.415,Earthquake,645.0,5.8,12:17:08,,1978-07-11,1978,7,11
-8.133,-71.27199999999999,Earthquake,644.9,6.1,13:27:04,,2007-07-21,2007,7,21
