Magnitude,Depth
6.0,131.6
5.8,80.0
6.2,20.0
5.8,15.0
5.8,15.0
6.7,35.0
5.9,20.0
6.0,35.0
6.0,95.0
5.8,565.0
5.9,227.9
8.2,20.0
5.5,55.0
5.6,482.9
6.0,15.0
6.1,10.0
8.7,30.3
6.0,30.0
5.7,25.0
5.8,25.0
5.9,25.0
5.9,20.0
5.7,10.0
5.7,24.0
5.7,31.8
5.6,20.0
7.3,30.0
6.5,30.0
5.6,20.0
6.4,25.0
5.8,25.0
5.8,25.0
5.8,10.0
5.7,10.0
5.7,25.0
6.3,39.5
5.7,30.0
6.0,20.0
5.6,30.4
6.4,17.8
6.2,27.7
5.6,30.1
5.7,37.4
5.7,17.5
6.3,22.5
5.8,25.2
5.7,17.7
5.7,25.0
5.8,25.0
5.9,32.5
5.6,200.0
6.0,30.0
5.8,25.0
5.8,20.0
5.9,100.0
5.7,53.5
5.7,30.0
5.6,340.0
5.6,55.0
5.9,35.0
5.8,40.4
5.8,35.0
7.0,35.0
6.2,40.0
6.2,20.3
5.6,160.0
6.0,10.0
5.9,30.0
5.7,30.0
5.5,40.0
5.6,30.0
5.7,33.6
5.6,105.2
5.8,10.0
5.6,15.0
6.7,14.8
6.3,25.7
5.7,200.0
5.5,30.0
5.6,35.0
5.8,560.8
5.6,35.0
5.6,10.0
5.8,45.0
6.0,50.0
6.1,15.0
5.7,20.0
7.4,207.8
5.8,15.0
6.4,32.1
6.0,25.0
6.3,224.9
5.7,35.0
6.0,40.0
6.3,28.9
6.5,30.5
6.2,48.8
6.2,25.0
5.7,55.0
5.8,40.0
7.4,70.0
6.4,30.0
5.9,20.0
7.6,20.0
6.8,75.0
5.9,60.0
5.8,10.0
5.7,30.7
5.6,25.0
6.1,20.0
5.7,39.2
5.7,50.0
6.2,25.0
6.1,25.0
6.0,20.0
6.2,65.0
5.7,17.5
6.5,543.7
6.3,635.0
5.9,20.0
5.7,570.0
5.6,421.7
5.6,165.0
6.0,15.0
5.9,10.0
6.1,25.0
6.1,25.0
6.0,35.0
5.8,70.0
6.0,30.0
5.7,25.0
5.6,36.8
6.1,37.1
6.0,30.0
6.1,60.0
5.8,15.0
6.7,64.7
6.0,480.0
5.6,15.0
5.8,22.5
5.8,90.0
5.9,15.0
5.7,110.0
6.2,10.0
5.7,50.0
6.1,153.1
5.8,25.0
5.9,35.0
6.7,68.4
5.6,35.0
5.6,35.0
5.5,50.0
7.7,120.0
5.7,35.0
6.1,553.8
6.0,28.5
5.9,25.0
5.8,30.1
6.0,125.0
5.9,150.0
5.7,540.0
5.9,12.5
5.6,20.0
5.6,20.0
7.0,40.7
7.2,58.0
5.5,31.6
5.6,35.0
5.7,32.6
5.6,35.0
5.7,38.0
5.7,35.0
5.5,35.0
5.9,102.2
6.1,38.1
5.9,25.0
5.6,10.0
5.9,95.0
6.2,25.0
5.9,10.0
5.6,45.0
5.5,10.0
5.9,25.0
6.3,40.0
6.5,20.0
5.8,30.0
5.7,10.0
6.5,15.0
5.9,40.0
6.0,25.0
5.8,30.0
5.7,44.6
6.1,10.0
7.8,45.0
5.9,35.0
5.8,35.0
6.3,20.0
5.6,45.0
6.3,490.0
5.7,35.0
5.7,112.4
6.0,570.0
5.9,25.0
5.7,24.6
